description,country,variety
"This is ripe and fruity, a wine that is smooth while still structured. Firm tannins are filled out with juicy red berry fruits and freshened with acidity. It's  already drinkable, although it will certainly be better from 2016.",Portugal,Portuguese Red
"Grown on the sandy soil of Tejo, the wine is typically soft and open. It is very accessible—with black fruits and light tannins for this grape. It is ready to drink.",Portugal,Touriga Nacional
"This bottling shows a rich, wood-aged wine, full of ripe yellow and tropical fruits as well as rich toasty flavors. The wine is warm, rounded, spicy and with its impressive structure still developing, it has the potential to age well. The wine is named to celebrate the second Lança generation in charge at the estate. Drink from 2017.",Portugal,Portuguese White
"From an estate in the south of the Alentejo, this is a rich, hot-country wine. It is firm, densely structured and with solid, dark tannins. There is a juicy black fruit background to this dense wine that gives a lift. Still young, this dark and very concentrated wine will be better from 2018.",Portugal,Portuguese Red
"A year in wood and 30 months in bottle before release have allowed this attractive wine to fully develop its solid yet smooth texture. It has concentration, layers of bright black currant fruit and vibrant acidity. Ready to drink.",Portugal,Portuguese Red
"Wood aging gives this ripe blend of Baga and Touriga Nacional its richness and density. It's full of black fruit, toast and a touch of pepper. With ripe tannins and crisp acidity, it can easily age another year. Drink from 2018.",Portugal,Portuguese Red
"A powerful wine, richly structured and full of ripe fruits. It has a solid feel to it, firmly anchored to its dark tannins as well as lightened by the juicy berry flavors. A blend that includes Cabernet Sauvignon and Syrah, it needs serious aging, so don't drink before 2017.",Portugal,Portuguese Red
"Verdelho and Sauvignon Blanc hangs together easily on this herb-dominant wine. The texture has a creamy character, showing green fruits, lively acidity and a bright orange-zest aftertaste.",Portugal,Portuguese White
"With its light prickle on the tongue, this is as fresh as possible. It's clean, packed with green and citrus fruits, and boosted with some textured richness. Drink at once.",Portugal,Portuguese White
"This is a new wine from the hands of master winemaker Luis Duarte. With its rich black fruits and dense tannins, it's also a wine that is firmly structured. Wood aging has added a layer of complexity and broadened out the fruits and dark tannins. Drink from 2017.",Portugal,Portuguese Red
"As its name suggests this is a selection of barrels of Syrah and Touriga Nacional. It is rich, smooth and full of ripe fruit. The dusty tannins are in suspension, backing up the black plum and blueberry fruit flavors. Along with the juicy acidity, this is a wine to age. Drink from 2017.",Portugal,Portuguese Red
"This is an impressive, powerful wine. It speaks of the hard landscape of the Douro Superior, with its structure and dark tannins. At the same time, ripe dark fruits push through the still-young tannins giving the potential for a rich, black fruit dominated wine. Predominantly Touriga Nacional (60 percent), this wine is a new venture created by João Nicolau d'Almeida (who has run Ramos-Pinto for many years) and his family. Drink from 2018.",Portugal,Portuguese Red
"Heading nicely in the crisp and aromatic direction, this is a light and bright wine. It has a citrus flavor that is balanced by richer pear and plum fruits. The wine is ready to drink.",Portugal,Portuguese White
"Onion skin orange in color, this is a full and fat wine. It has attractive red-berry fruit and just the right amount of acidity to keep it fresh and crisp. Drink now.",Portugal,Rosé
"In a medium sweet style, the wine has a light prickle and fine citrus acidity to balance the soft freshness. It is a refreshing wine, totally drinkable immediately.",Portugal,Portuguese White
"A rose pink colored wine that is dry and with ripe fruit. Its acidity contrasts with the warm red-berry fruit and the edge of tannin. There is a peppery, crisp aftertaste.",Portugal,Rosé
"The wine is ripe with apple and creamed pear flavors. It is warm, rich and missing acidity. There is an attractive almond and spice character to this ripe wine. Drink now.",Portugal,Portuguese White
"This raspberry-flavored wine is soft and ripe. While it is fruity, it also has a nutty character that gives it a rich taste. It's dry and in a style that will make it better with food than by itself.",Portugal,Rosé
"The grape is local to the Vidigueira region of the southern Alentejo. Coming from cool vineyards, the wine has a fresh character that is balanced by the ripe melon and juicy pear fruits. It has a crisper end and is ready to drink.",Portugal,Antão Vaz
"Powerful and concentrated, this is just at its peak. Ripe, rich fruit and tarry tannins give it freshness and a dry core. It's solid and serious, a dense wine that calls for equally rich food. Drink it now while it's at its prime.",Portugal,Portuguese Red
"This mature wine has a soft, smooth character and ripe fruit. With its red-berry flavors and gentle tannins, it's very ready to drink. The blend is dominated by Touriga Nacional from an estate at the heart of the Douro vineyards in Pinhão.",Portugal,Portuguese Red
"A ripe and structured wine, this has bold black fruits and balanced tannins that still need to soften. It has good potential with rich fruits and a tight mineral texture. Drink from 2018.",Portugal,Portuguese Red
"Sousão gives intense color and that, along with its attractive perfume, makes a dense, intensely fruity wine. It is rich and weighty, the tannins well integrated with a ripe, juicy aftertaste.",Portugal,Sousão
"The latest release from the partnership between the Roquette family of Quinta do Crasto in the Douro and the Cazes family of Château Lynch-Bages in Bordeaux. The wine brings out considerable minerality, a herbal edge along with forward black currant fruit. It is austerely structured at this stage and needs aging for several years.",Portugal,Portuguese Red
"Aromas of fresh-cut hay lead to a wine that has considerable concentration and good balance from wood aging. Very citrus with pineapple touches, it finishes with an herbaceous feel. The wine comes from a vineyard planted at the end of the 19th century.",Portugal,Portuguese White
"A wood-aged white, spicy and ripe. It has just the right balance of acidity to go with the ripe green plum and melon fruits. With a great bite of acidity to finish, this is a wine that will age for 3–4 years.",Portugal,Portuguese White
"A fresh lemon-flavored wine with crisp acidity balanced by warmer white-stone fruit. It is fruity, showing a touch of toast and almonds. Drink now.",Portugal,Avesso
"A blend of Fernão Pires and Arinto, this is totally crisp and refreshingly fruity. It is perfumed, smooth while also cut with acidity. The acidity comes from both citrus and pineapple flavors. Drink now.",Portugal,Portuguese White
"Known in Spain as Graciano, this grape produces attractive, fruity wine especially in the Tejo region. This example is ripe with layers of acidity as well as a generous texture. Soft and smooth, it is ready to drink.",Portugal,Tinta Miúda
"This is crisp and fresh medium-sweet wine. It is bright with red-currant acidity and ripe with a strawberry and cream flavor. The wine is clean, lively and, of course, ready to drink.",Portugal,Portuguese Sparkling
"Just lightly touched by wood this is a bright and fruity wine that is ready to drink. Spice and red-berry fruits dominate, lifted by balanced tannins. Drink now.",Portugal,Portuguese Red
"It is the 30% Alicante Bouschet in the blend that gives the dense color to this ripe wine. Concentrate and rich, the generous berry flavors are balanced by a more restrained acidity and smoky flavors. The wine is ready to drink.",Portugal,Portuguese Red
"This is a sweet, rich Port. Its aromas are of soft berry jelly, with a ripe herbal character. To taste, it is concentrated, but the sweetness of the fruit masks its density. Berry and dried fruits make an attractive blend, leaving a firmer structure in the aftertaste.",Portugal,Port
